Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-PCDSleepObservation-stage-example.json	802	5	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	117	516	0	0	0	0	0	1	0
fsh-generated/resources/Observation-ScoredAssessmentGAD7Example.json	2572	8	0	0	0	0	2	0	1	25	0	0	0	0	0	0	0	0	0	0	0	141	1524	0	0	0	1	0	0	4
fsh-generated/resources/Observation-ScoredAssessmentPHQ9Example.json	2568	6	0	0	2	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	298	424	0	0	0	1	0	0	0
fsh-generated/resources/Observation-StateOfMind2Example.json	4007	10	0	0	2	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	752	1407	1	2	0	1	0	0	6
fsh-generated/resources/Observation-StateOfMindExample.json	4195	6	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	907	1354	0	0	0	1	0	0	2
fsh-generated/resources/Observation-pghd-activity-activeEnergyBurned-underwater-diving.json	2009	10	0	0	2	0	0	0	1	10	0	0	0	0	0	0	0	1	0	0	0	683	349	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-activity-activeEnergyBurned-walking.json	1997	5	0	0	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	193	474	0	0	0	1	0	0	2
fsh-generated/resources/Observation-pghd-activity-activeEnergyBurned.json	1794	5	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	175	617	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-activity-appleExerciseTime.json	1787	7	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	271	644	0	0	0	0	1	0	6
fsh-generated/resources/Observation-pghd-activity-appleMoveTime.json	1780	140	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	282	481	0	0	0	1	0	0	5
fsh-generated/resources/Observation-pghd-activity-appleStandHour.json	1699	13	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	93	383	0	0	1	2	0	1	2
fsh-generated/resources/Observation-pghd-activity-basalEnergyBurned.json	1790	11	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	128	285	1	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-activity-cyclingCadence.json	1785	13	0	0	1	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	119	332	0	0	0	3	1	0	2
fsh-generated/resources/Observation-pghd-activity-distanceWalkingRunning-walking.json	2003	24	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	4	0	0	0	261	284	12	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-alchol-consumption-blood-alcohol-content.json	1824	20	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	152	311	0	0	2	4	0	0	3
fsh-generated/resources/Observation-pghd-alchol-use-number-of-alcoholic-beverages.json	1742	10	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	1	0	500	275	0	1	0	3	0	0	2
fsh-generated/resources/Observation-pghd-audiogram.json	1249	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	549	1402	0	0	0	5	2	0	2
fsh-generated/resources/Observation-pghd-blood-glucose-1.json	1905	13	0	0	1	0	0	0	0	15	1	0	0	0	0	0	0	3	0	0	0	171	950	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-blood-glucose-2.json	3472	15	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	1	0	0	0	534	990	0	0	0	1	0	0	5
fsh-generated/resources/Observation-pghd-blood-glucose-3.json	2055	16	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	353	788	0	0	0	2	0	0	0
fsh-generated/resources/Observation-pghd-bloodpressure.json	2975	39	0	0	0	0	0	0	1	99	1	0	0	0	0	1	0	0	0	0	0	200	1631	0	0	0	3	0	0	2
fsh-generated/resources/Observation-pghd-bmi.json	2019	27	0	0	0	0	0	0	0	54	0	0	0	1	0	0	0	1	0	0	0	108	1002	0	0	0	4	0	0	2
fsh-generated/resources/Observation-pghd-bodyheight.json	1983	7	0	0	0	0	0	0	5	112	0	0	0	0	0	0	0	0	0	0	0	121	3943	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-bodymeasurement-body-fat-percentage.json	1893	9	0	0	0	0	0	0	1	64	0	0	0	0	0	0	0	3	0	0	0	90	915	1	0	0	1	0	0	2
fsh-generated/resources/Observation-pghd-bodytemperature.json	2010	7	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	9	0	0	0	147	419	0	0	0	0	0	0	2
