URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/uv/phr/ValueSet/observation-scored-assessment-codes,1.0.0-ballot2,active,,ObservationScoredAssessment,Observation Scored Assessment Codes,"Code for scored assessment","StructureDefinition/pghd-observation-scored-assessment","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-scored-assessment-score-codes,1.0.0-ballot2,active,,ObservationScoredAssessmentScore,Observation State of Mind Codes,"Codes for state of mind","StructureDefinition/pghd-observation-scored-assessment","LOINC"
http://hl7.org/fhir/uv/phr/ValueSet/observation-selfcare-codes,1.0.0-ballot2,active,,ObservationSelfCare,Observation SelfCare Codes,"Codes representing selfcare-related measurement items","StructureDefinition/pghd-selfcare","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-sleep-codes,1.0.0-ballot2,active,,ObservationSleep,Observation Sleep Codes,"Codes representing sleep-related measurement items","StructureDefinition/pghd-sleep","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-state-of-mind-association-codes,1.0.0-ballot2,active,,ObservationStateOfMindAssociation,Observation State of Mind Association Codes,"Codes for state of mind association","StructureDefinition/pghd-observation-state-of-mind","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-state-of-mind-codes,1.0.0-ballot2,active,,ObservationStateOfMind,Observation State of Mind Codes,"Codes for state of mind","StructureDefinition/pghd-observation-state-of-mind","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-state-of-mind-kind-codes,1.0.0-ballot2,active,,ObservationStateOfMindKind,Observation State of Mind Kind Codes,"Codes for state of mind kind","StructureDefinition/pghd-observation-state-of-mind","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-state-of-mind-label-codes,1.0.0-ballot2,active,,ObservationStateOfMindLabel,Observation State of Mind Label Codes,"Codes for state of mind label","StructureDefinition/pghd-observation-state-of-mind","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-state-of-mind-valence-codes,1.0.0-ballot2,active,,ObservationStateOfMindValence,Observation State of Mind Valence Codes,"Codes for state of mind valence","StructureDefinition/pghd-observation-state-of-mind","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-symptom-codes,1.0.0-ballot2,active,,ObservationSymptom,Observation Symptom Codes,"Codes representing symptom-related measurement items","ConceptMap/symptom-snomedct-to-pghd,ConceptMap/symptom-pghd-to-snomedct,StructureDefinition/pghd-symptom","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-symptom-snomedct-codes,1.0.0-ballot2,active,,ObservationSymptomSNOMEDCT,Observation Symptom SNOMED CT Codes,"Codes representing symptom-related measurement items with SNOMED CT","ConceptMap/symptom-snomedct-to-pghd,ConceptMap/symptom-pghd-to-snomedct,StructureDefinition/pghd-symptom","SCT"
http://hl7.org/fhir/uv/phr/ValueSet/observation-uvexposure-codes,1.0.0-ballot2,active,,ObservationUVExposure,Observation UVExposure Codes,"Codes representing UV Exposure-related measurement items","StructureDefinition/pghd-uvexposure","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-vital-signs-codes,1.0.0-ballot2,active,,ObservationVitalsignsValueSet,Observation Vitalsigns Codes,"Codes representing vitalsigns-related measurement items","StructureDefinition/pghd-bloodpressure,StructureDefinition/pghd-vitalsigns,StructureDefinition/pghd-heartrate,StructureDefinition/pghd-bodytemperature,StructureDefinition/pghd-oxygenSaturation,StructureDefinition/pghd-respiratoryrate","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/observation-workout-codes,1.0.0-ballot2,active,,ObservationWorkout,Observation Workout Codes,"Codes representing workout-related measurement items","StructureDefinition/pghd-workout","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/pcd-sleep-observation-code,1.0.0-ballot2,active,,PCDSleepObservationCode,Patient contributed data: sleep observation code,"This value set includes codes to track patient sleep recorded by device or app","StructureDefinition/pcd-sleep-observation","SCT,LOINC"
http://hl7.org/fhir/uv/phr/ValueSet/pcd-sleep-observation-value,1.0.0-ballot2,active,,PCDSleepStageValueCode,Patient contributed data: sleep stage value,"This value set includes codes to track patient sleep values recorded by device or app",,"SCT"
http://hl7.org/fhir/uv/phr/ValueSet/sleep-analysis,1.0.0-ballot2,active,,SleepAnalysisValueSet,Sleep Analysis,"Codes for stages of sleep","StructureDefinition/pghd-sleep","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/symptom-presence,1.0.0-ballot2,active,,SymptomPresenceValueSet,Symptom Presence,"Code for presence or absence of symptoms","StructureDefinition/pghd-symptom","Internal"
http://hl7.org/fhir/uv/phr/ValueSet/symptom-severity,1.0.0-ballot2,active,,SymptomSeverityValueSet,Symptom Severity,"Code for degree of symptoms","StructureDefinition/pghd-symptom","Internal"
